run,epoch,train_loss,val_loss,val_accuracy,top2_accuracy,roc_auc_macro
baseline_temp005_cls02_lr2e5,1,1.2247712447269428,1.096973807791869,0.5621666666666667,0.8228333333333333,0.6571715231481481
baseline_temp005_cls02_lr2e5,2,1.0466685936680526,1.043298649350802,0.5855,0.8295,0.6693798287037037
baseline_temp005_cls02_lr2e5,3,0.9679803133307444,1.0256019858320553,0.5919166666666666,0.8285,0.65960925
baseline_temp005_cls02_lr2e5,4,0.914826473244228,1.0835536029289166,0.597,0.8303333333333334,0.6775429537037037
baseline_temp005_cls02_lr2e5,5,0.8882613016804455,1.086983828470111,0.59775,0.83075,0.6780058842592593
cls010,1,1.0969494953471015,0.9702247380018234,0.5654166666666667,0.8224166666666667,0.6620526574074075
cls010,2,0.9370727419789084,0.9419949137667815,0.5861666666666666,0.8285,0.6670801527777778
cls010,3,0.8696423000733721,0.9176172166665395,0.5926666666666667,0.8314166666666667,0.6613364212962963
cls010,4,0.823002463688592,0.9683120893985033,0.598,0.8318333333333333,0.6764853935185187
cls010,5,0.7972426867816896,0.9766104152003924,0.5979166666666667,0.8315833333333333,0.6769129953703704
cls050,1,1.6027605772868094,1.4390241433779398,0.5576666666666666,0.8238333333333333,0.6570381898148148
cls050,2,1.3675551604661909,1.349875256260236,0.586,0.8275833333333333,0.666957324074074
cls050,3,1.253489390067704,1.317192158917586,0.5928333333333333,0.8295,0.6653077962962963
cls050,4,1.1829210086342403,1.3755503059824308,0.5976666666666667,0.8305833333333333,0.6781133981481482
cls050,5,1.1486626256852461,1.3973434399167697,0.5981666666666666,0.8300833333333333,0.6802776342592594
lr5e5,1,1.1940285902211845,1.0725616036951542,0.558,0.826,0.6494387037037037
lr5e5,2,1.0192102423481815,1.019931312749783,0.5871666666666666,0.8285833333333333,0.6615478842592593
lr5e5,3,0.9323091496016596,0.9968110940419137,0.5931666666666666,0.8328333333333333,0.6664440787037036
lr5e5,4,0.8647419522010941,1.0677830727398396,0.5989166666666667,0.8319166666666666,0.6790453055555554
lr5e5,5,0.8249734683295952,1.0931716521307826,0.5986666666666667,0.8318333333333333,0.6826095000000001
proj256,1,1.2203671149729143,1.0724701845844586,0.5684166666666667,0.8234166666666667,0.6456035462962962
proj256,2,1.0361847072326733,1.0458462682167688,0.5875833333333333,0.8294166666666667,0.6663077685185186
proj256,3,0.9588576967659145,1.0449975529362758,0.596,0.831,0.6709698101851851
proj256,4,0.9038480123131265,1.0591623567889135,0.59875,0.8305833333333333,0.6764035555555556
proj256,5,0.8767139940407886,1.074056469336152,0.6010833333333333,0.83125,0.6780809675925926
temp003,1,1.23380492578725,1.1023395464817682,0.5676666666666667,0.825,0.6485972268518518
temp003,2,1.0648847782504436,1.0723665641844273,0.583,0.8271666666666667,0.6518353703703703
temp003,3,0.9909911344670492,1.0655360465546448,0.5938333333333333,0.829,0.6473452870370371
temp003,4,0.940448048564136,1.1346503822505474,0.5985833333333334,0.8305,0.6638978194444445
temp003,5,0.9111824777877061,1.1438129870146514,0.5981666666666666,0.8305,0.6649164351851852
temp007,1,1.217707861297037,1.0747597039143244,0.5645,0.8245,0.6614071712962963
temp007,2,1.0363813042360137,1.0220584034621716,0.5911666666666666,0.82925,0.6776205138888889
temp007,3,0.9560383843551598,1.00593487038215,0.596,0.8293333333333334,0.6727478194444444
temp007,4,0.903808102897414,1.0394659511347613,0.5993333333333334,0.8313333333333334,0.6852681712962964
temp007,5,0.8770059009732387,1.0498932360559703,0.5995,0.8325833333333333,0.6860335462962963
